team2,year,team1,round,seed1,score1,seed2,score2,score_diff,seed_diff,team1_sos,team1_osrs,team1_dsrs,team1_srs,team2_sos,team2_osrs,team2_dsrs,team2_srs
West Virginia,2010,Missouri,Second Round,10,59,2,68,-9,8,6.36,11.31,6.08,17.39,10.26,7.6,11.56,19.16
Wake Forest,2010,Kentucky,Second Round,1,90,9,60,30,-8,6.82,13.3,7.84,21.13,8.85,8.21,3.25,11.45
Purdue,2010,Texas A&M,Second Round,5,61,4,63,-2,1,9.8,5.7,9.54,15.24,8.81,6.09,11.43,17.52
Maryland,2010,Michigan State,Second Round,5,85,4,83,2,1,8.17,7.35,7.99,15.33,7.95,14.63,3.13,17.75
Kansas State,2010,Brigham Young,Second Round,7,72,2,84,-12,5,3.0,16.12,2.7,18.82,10.28,14.47,5.41,19.88
Wisconsin,2010,Cornell,Second Round,12,87,4,69,18,8,-0.91,7.2,1.55,8.76,7.66,2.31,15.54,17.84
California,2010,Duke,Second Round,1,68,8,53,15,-7,9.21,13.17,12.04,25.21,8.26,13.43,3.86,17.29
Northern Iowa,2010,Kansas,Second Round,1,67,9,69,-2,-8,8.25,15.06,9.62,24.68,4.27,-2.81,14.84,12.03
Gonzaga,2010,Syracuse,Second Round,1,87,8,65,22,-7,7.21,14.9,6.82,21.72,3.83,9.27,2.84,12.11
Villanova,2010,St. Mary's (Cal.),Second Round,10,75,2,68,7,8,2.2,10.03,3.35,13.38,7.75,16.74,-0.02,16.72
Baylor,2010,Old Dominion,Second Round,11,68,3,76,-8,8,1.78,-0.52,11.91,11.39,8.03,9.58,8.39,17.97
Pittsburgh,2010,Xavier,Second Round,6,71,3,68,3,3,5.94,14.53,1.69,16.23,7.39,2.66,11.64,14.3
New Mexico,2010,Washington,Second Round,11,82,3,64,18,8,7.49,13.31,2.33,15.64,3.84,9.65,2.84,12.49
Ohio,2010,Tennessee,Second Round,6,83,14,68,15,-8,7.75,7.86,8.19,16.05,-0.03,6.34,-1.78,4.56
Ohio State,2010,Georgia Tech,Second Round,10,66,2,75,-9,8,9.02,7.49,6.62,14.11,7.37,10.34,9.15,19.49
Murray St.,2010,Vanderbilt,First Round,4,65,13,66,-1,-9,7.86,11.84,3.4,15.24,-3.89,2.63,6.06,8.69
UTEP,2010,Butler,First Round,5,77,12,59,18,-7,5.08,2.5,11.87,14.37,1.96,6.96,5.7,12.66
Wofford,2010,Wisconsin,First Round,4,53,13,49,4,-9,7.66,2.31,15.54,17.84,-2.57,-2.32,6.74,4.43
Morgan State,2010,West Virginia,First Round,2,77,15,50,27,-13,10.26,7.6,11.56,19.16,-6.15,4.37,-5.54,-1.18
East Tennessee State,2010,Kentucky,First Round,1,100,16,71,29,-15,6.82,13.3,7.84,21.13,-1.47,-0.57,-0.27,-0.83
Louisville,2010,California,First Round,8,77,9,62,15,-1,8.26,13.43,3.86,17.29,7.99,10.13,3.95,14.08
Utah State,2010,Texas A&M,First Round,5,69,12,53,16,-7,9.8,5.7,9.54,15.24,1.23,3.15,10.47,13.62
Old Dominion,2010,Notre Dame,First Round,6,50,11,51,-1,-5,6.22,9.82,3.32,13.14,1.78,-0.52,11.91,11.39
Montana,2010,New Mexico,First Round,3,62,14,57,5,-11,3.84,9.65,2.84,12.49,-2.35,-2.12,6.05,3.93
Cornell,2010,Temple,First Round,5,65,12,78,-13,-7,4.27,-2.6,15.04,12.44,-0.91,7.2,1.55,8.76
New Mexico State,2010,Michigan State,First Round,5,70,12,67,3,-7,8.17,7.35,7.99,15.33,1.66,9.3,-7.24,2.06
Florida State,2010,Gonzaga,First Round,8,67,9,60,7,-1,3.83,9.27,2.84,12.11,6.79,2.6,12.03,14.64
Florida,2010,Brigham Young,First Round,7,99,10,92,7,-3,3.0,16.12,2.7,18.82,7.16,5.81,6.08,11.89
Oakland,2010,Pittsburgh,First Round,3,89,14,66,23,-11,7.39,2.66,11.64,14.3,-2.96,4.33,-4.97,-0.64
Arkansas-Pine Bluff,2010,Duke,First Round,1,73,16,44,29,-15,9.21,13.17,12.04,25.21,-7.68,-7.86,-0.43,-8.29
UC Santa Barbara,2010,Ohio State,First Round,2,68,15,51,17,-13,7.37,10.34,9.15,19.49,-1.09,-2.54,2.41,-0.13
Lehigh,2010,Kansas,First Round,1,90,16,74,16,-15,8.25,15.06,9.62,24.68,-7.79,3.85,-7.18,-3.33
Vermont,2010,Syracuse,First Round,1,79,16,56,23,-15,7.21,14.9,6.82,21.72,-6.69,-0.66,-0.6,-1.26
North Texas,2010,Kansas State,First Round,2,82,15,62,20,-13,10.28,14.47,5.41,19.88,-4.72,1.07,-3.56,-2.49
Washington,2010,Marquette,First Round,6,78,11,80,-2,-5,8.23,5.9,9.27,15.17,7.49,13.31,2.33,15.64
Wake Forest,2010,Texas,First Round,8,80,9,81,-1,-1,7.38,15.28,3.28,18.56,8.85,8.21,3.25,11.45
Robert Morris,2010,Villanova,First Round,2,73,15,70,3,-13,7.75,16.74,-0.02,16.72,-6.15,-2.58,-1.13,-3.71
Sam Houston State,2010,Baylor,First Round,3,68,14,59,9,-11,8.03,9.58,8.39,17.97,-3.37,8.29,-4.59,3.71
St. Mary's (Cal.),2010,Richmond,First Round,7,71,10,80,-9,-3,3.43,0.98,9.06,10.03,2.2,10.03,3.35,13.38
Northern Iowa,2010,UNLV,First Round,8,66,9,69,-3,-1,4.82,5.98,6.59,12.57,4.27,-2.81,14.84,12.03
Minnesota,2010,Xavier,First Round,6,65,11,54,11,-5,5.94,14.53,1.69,16.23,7.32,8.09,7.55,15.64
Missouri,2010,Clemson,First Round,7,78,10,86,-8,-3,7.9,8.25,7.46,15.71,6.36,11.31,6.08,17.39
Siena,2010,Purdue,First Round,4,72,13,64,8,-9,8.81,6.09,11.43,17.52,-1.17,7.63,0.84,8.48
Ohio,2010,Georgetown,First Round,3,83,14,97,-14,-11,9.56,9.38,7.65,17.03,-0.03,6.34,-1.78,4.56
San Diego State,2010,Tennessee,First Round,6,62,11,59,3,-5,7.75,7.86,8.19,16.05,4.21,3.49,7.85,11.34
Houston,2010,Maryland,First Round,4,89,13,77,12,-9,7.95,14.63,3.13,17.75,3.48,12.47,-5.73,6.74
Georgia Tech,2010,Oklahoma State,First Round,7,59,10,64,-5,-3,6.97,7.29,5.05,12.34,9.02,7.49,6.62,14.11
Winthrop,2010,Arkansas-Pine Bluff,Play-In,16,61,16,44,17,0,-7.68,-7.86,-0.43,-8.29,-7.31,-11.56,2.88,-8.68
North Carolina,2009,Michigan State,National Championship,2,72,1,89,-17,1,9.37,9.33,8.39,17.71,8.35,23.85,1.6,25.46
Connecticut,2009,Michigan State,Final Four,2,82,1,73,9,1,9.37,9.33,8.39,17.71,8.57,13.22,8.96,22.17
North Carolina,2009,Villanova,Final Four,3,69,1,83,-14,2,8.72,10.87,6.59,17.45,8.35,23.85,1.6,25.46
Missouri,2009,Connecticut,Elite Eight,1,82,3,75,7,-2,8.57,13.22,8.96,22.17,6.72,15.46,4.1,19.56
Oklahoma,2009,North Carolina,Elite Eight,1,72,2,60,12,-1,8.35,23.85,1.6,25.46,6.88,12.69,5.38,18.07
Villanova,2009,Pittsburgh,Elite Eight,1,76,3,78,-2,-2,8.61,12.17,9.04,21.21,8.72,10.87,6.59,17.45
Michigan State,2009,Louisville,Elite Eight,1,52,2,64,-12,-1,8.41,8.93,11.93,20.87,9.37,9.33,8.39,17.71
Memphis,2009,Missouri,Sweet 16,3,102,2,91,11,1,6.72,15.46,4.1,19.56,4.63,8.53,12.4,20.92
Purdue,2009,Connecticut,Sweet 16,1,72,5,60,12,-4,8.57,13.22,8.96,22.17,7.17,6.57,9.87,16.44
Gonzaga,2009,North Carolina,Sweet 16,1,98,4,77,21,-3,8.35,23.85,1.6,25.46,3.55,12.22,5.74,17.95
Xavier,2009,Pittsburgh,Sweet 16,1,60,4,55,5,-3,8.61,12.17,9.04,21.21,4.65,6.01,8.44,14.45
Michigan State,2009,Kansas,Sweet 16,3,62,2,67,-5,1,7.9,10.34,7.68,18.02,9.37,9.33,8.39,17.71
Duke,2009,Villanova,Sweet 16,3,77,2,54,23,1,8.72,10.87,6.59,17.45,9.07,11.97,8.12,20.1
Oklahoma,2009,Syracuse,Sweet 16,3,71,2,84,-13,1,9.48,16.69,0.54,17.24,6.88,12.69,5.38,18.07
Arizona,2009,Louisville,Sweet 16,1,103,12,64,39,-11,8.41,8.93,11.93,20.87,8.8,9.13,2.75,11.88
Texas A&M,2009,Connecticut,Second Round,1,92,9,66,26,-8,8.57,13.22,8.96,22.17,6.13,4.94,5.58,10.52
Villanova,2009,UCLA,Second Round,6,69,3,89,-20,3,7.19,11.55,7.1,18.64,8.72,10.87,6.59,17.45
Xavier,2009,Wisconsin,Second Round,12,49,4,60,-11,8,8.43,0.85,11.58,12.43,4.65,6.01,8.44,14.45
Oklahoma,2009,Michigan,Second Round,10,63,2,73,-10,8,9.74,4.72,7.18,11.9,6.88,12.69,5.38,18.07
LSU,2009,North Carolina,Second Round,1,84,8,70,14,-7,8.35,23.85,1.6,25.46,3.27,6.87,5.0,11.87
Oklahoma State,2009,Pittsburgh,Second Round,1,84,8,76,8,-7,8.61,12.17,9.04,21.21,7.44,14.62,-0.84,13.78
Missouri,2009,Marquette,Second Round,6,79,3,83,-4,3,7.87,12.58,2.48,15.06,6.72,15.46,4.1,19.56
Duke,2009,Texas,Second Round,7,69,2,74,-5,5,8.09,6.31,8.52,14.83,9.07,11.97,8.12,20.1
Siena,2009,Louisville,Second Round,1,79,9,62,17,-8,8.41,8.93,11.93,20.87,0.99,10.28,-2.22,8.05
Washington,2009,Purdue,Second Round,5,76,4,74,2,1,7.17,6.57,9.87,16.44,8.19,14.93,1.85,16.78
Memphis,2009,Maryland,Second Round,10,70,2,89,-19,8,8.99,6.63,4.48,11.1,4.63,8.53,12.4,20.92
Michigan State,2009,Southern California,Second Round,10,69,2,74,-5,8,9.15,3.36,10.74,14.09,9.37,9.33,8.39,17.71
Syracuse,2009,Arizona State,Second Round,6,67,3,78,-11,3,7.82,4.72,11.98,16.7,9.48,16.69,0.54,17.24
Gonzaga,2009,Western Kentucky,Second Round,12,81,4,83,-2,8,-1.23,4.09,-0.41,3.68,3.55,12.22,5.74,17.95
Cleveland State,2009,Arizona,Second Round,12,71,13,57,14,-1,8.8,9.13,2.75,11.88,2.12,-1.24,8.21,6.97
Kansas,2009,Dayton,Second Round,11,43,3,60,-17,8,1.76,-0.85,8.0,7.16,7.9,10.34,7.68,18.02
Cornell,2009,Missouri,First Round,3,78,14,59,19,-11,6.72,15.46,4.1,19.56,-4.01,3.6,-0.9,2.71
Maryland,2009,California,First Round,7,71,10,84,-13,-3,7.21,11.18,2.12,13.3,8.99,6.63,4.48,11.1
Chattanooga,2009,Connecticut,First Round,1,103,16,47,56,-15,8.57,13.22,8.96,22.17,-3.13,3.75,-10.0,-6.25
Cal State Northridge,2009,Memphis,First Round,2,81,15,70,11,-13,4.63,8.53,12.4,20.92,-0.14,6.41,-3.76,2.65
Virginia Commonwealth,2009,UCLA,First Round,6,65,11,64,1,-5,7.19,11.55,7.1,18.64,-0.65,4.23,3.48,7.7
Dayton,2009,West Virginia,First Round,6,60,11,68,-8,-5,8.34,7.32,11.26,18.57,1.76,-0.85,8.0,7.16
Radford,2009,North Carolina,First Round,1,101,16,58,43,-15,8.35,23.85,1.6,25.46,-4.37,1.05,-5.6,-4.55
Robert Morris,2009,Michigan State,First Round,2,77,15,62,15,-13,9.37,9.33,8.39,17.71,-5.23,-0.32,-0.38,-0.7
Texas A&M,2009,Brigham Young,First Round,8,66,9,79,-13,-1,4.15,11.73,3.39,15.12,6.13,4.94,5.58,10.52
Wisconsin,2009,Florida State,First Round,5,59,12,61,-2,-7,7.91,2.53,8.84,11.37,8.43,0.85,11.58,12.43
Binghamton,2009,Duke,First Round,2,86,15,62,24,-13,9.07,11.97,8.12,20.1,-5.62,-0.42,-2.85,-3.27
East Tennessee State,2009,Pittsburgh,First Round,1,72,16,62,10,-15,8.61,12.17,9.04,21.21,-1.87,6.16,-2.95,3.21
Portland State,2009,Xavier,First Round,4,77,13,59,18,-9,4.65,6.01,8.44,14.45,-3.16,3.32,-2.18,1.14
Akron,2009,Gonzaga,First Round,4,77,13,64,13,-9,3.55,12.22,5.74,17.95,-2.01,-1.16,4.52,3.37
Siena,2009,Ohio State,First Round,8,72,9,74,-2,-1,8.23,4.13,8.35,12.48,0.99,10.28,-2.22,8.05
North Dakota State,2009,Kansas,First Round,3,84,14,74,10,-11,7.9,10.34,7.68,18.02,-2.72,9.61,-3.43,6.18
Utah State,2009,Marquette,First Round,6,58,11,57,1,-5,7.87,12.58,2.48,15.06,0.07,2.67,6.66,9.33
American,2009,Villanova,First Round,3,80,14,67,13,-11,8.72,10.87,6.59,17.45,-5.49,-4.88,4.83,-0.05
Minnesota,2009,Texas,First Round,7,76,10,62,14,-3,8.09,6.31,8.52,14.83,7.19,3.39,7.93,11.32
Western Kentucky,2009,Illinois,First Round,5,72,12,76,-4,-7,6.73,1.32,13.06,14.38,-1.23,4.09,-0.41,3.68
Stephen F. Austin,2009,Syracuse,First Round,3,59,14,44,15,-11,9.48,16.69,0.54,17.24,-3.21,-8.35,9.45,1.1
Morehead State,2009,Louisville,First Round,1,74,16,54,20,-15,8.41,8.93,11.93,20.87,-3.61,-2.83,-0.31,-3.14
Northern Iowa,2009,Purdue,First Round,5,61,12,56,5,-7,7.17,6.57,9.87,16.44,2.24,0.73,4.91,5.63
Mississippi State,2009,Washington,First Round,4,71,13,58,13,-9,8.19,14.93,1.85,16.78,4.62,6.45,2.65,9.1
Tennessee,2009,Oklahoma State,First Round,8,77,9,75,2,-1,7.44,14.62,-0.84,13.78,7.71,11.93,1.67,13.6
Michigan,2009,Clemson,First Round,7,59,10,62,-3,-3,6.59,12.43,3.13,15.56,9.74,4.72,7.18,11.9
Cleveland State,2009,Wake Forest,First Round,4,69,13,84,-15,-9,7.36,14.58,1.06,15.63,2.12,-1.24,8.21,6.97
Arizona,2009,Utah,First Round,5,71,12,84,-13,-7,5.72,5.36,7.24,12.59,8.8,9.13,2.75,11.88
Morgan State,2009,Oklahoma,First Round,2,82,15,54,28,-13,6.88,12.69,5.38,18.07,-6.53,-4.34,2.05,-2.29
Temple,2009,Arizona State,First Round,6,66,11,57,9,-5,7.82,4.72,11.98,16.7,3.9,1.28,7.77,9.05
Butler,2009,LSU,First Round,8,75,9,71,4,-1,3.27,6.87,5.0,11.87,2.07,1.93,8.13,10.07
Southern California,2009,Boston College,First Round,7,55,10,72,-17,-3,7.23,8.48,1.88,10.36,9.15,3.36,10.74,14.09
Alabama State,2009,Morehead State,Play-In,16,58,16,43,15,0,-3.61,-2.83,-0.31,-3.14,-11.2,-5.83,-0.3,-6.13
Memphis,2008,Kansas,National Championship,1,75,1,68,7,0,8.2,14.9,11.99,26.9,5.76,13.46,10.28,23.73
UCLA,2008,Memphis,Final Four,1,78,1,63,15,0,5.76,13.46,10.28,23.73,7.71,8.6,13.1,21.71
Kansas,2008,North Carolina,Final Four,1,66,1,84,-18,0,8.12,23.41,0.76,24.17,8.2,14.9,11.99,26.9
Xavier,2008,UCLA,Elite Eight,1,76,3,57,19,-2,7.71,8.6,13.1,21.71,5.47,8.4,8.76,17.17
Texas,2008,Memphis,Elite Eight,1,85,2,67,18,-1,5.76,13.46,10.28,23.73,8.59,9.93,8.2,18.13
Louisville,2008,North Carolina,Elite Eight,1,83,3,73,10,-2,8.12,23.41,0.76,24.17,8.0,7.15,11.85,19.0
Davidson,2008,Kansas,Elite Eight,1,59,10,57,2,-9,8.2,14.9,11.99,26.9,1.66,8.49,5.44,13.93
Western Kentucky,2008,UCLA,Sweet 16,1,88,12,78,10,-11,7.71,8.6,13.1,21.71,0.24,7.93,1.41,9.34
Michigan State,2008,Memphis,Sweet 16,1,92,5,74,18,-4,5.76,13.46,10.28,23.73,7.68,7.0,9.32,16.32
Davidson,2008,Wisconsin,Sweet 16,3,56,10,73,-17,-7,6.73,2.83,16.76,19.59,1.66,8.49,5.44,13.93
Washington State,2008,North Carolina,Sweet 16,1,68,4,47,21,-3,8.12,23.41,0.76,24.17,6.35,0.1,16.25,16.35
West Virginia,2008,Xavier,Sweet 16,3,79,7,75,4,-4,5.47,8.4,8.76,17.17,7.16,8.45,9.52,17.97
Villanova,2008,Kansas,Sweet 16,1,72,12,57,15,-11,8.2,14.9,11.99,26.9,7.69,6.92,4.08,11.0
Tennessee,2008,Louisville,Sweet 16,3,79,2,60,19,1,8.0,7.15,11.85,19.0,7.84,15.69,2.73,18.41
Texas,2008,Stanford,Sweet 16,3,62,2,82,-20,1,6.95,5.6,10.71,16.31,8.59,9.93,8.2,18.13
Texas A&M,2008,UCLA,Second Round,1,51,9,49,2,-8,7.71,8.6,13.1,21.71,7.46,4.82,11.38,16.2
Duke,2008,West Virginia,Second Round,7,73,2,67,6,5,7.16,8.45,9.52,17.97,9.28,16.48,5.04,21.52
Tennessee,2008,Butler,Second Round,7,71,2,76,-5,5,2.64,2.38,10.63,13.0,7.84,15.69,2.73,18.41
Washington State,2008,Notre Dame,Second Round,5,41,4,61,-20,1,7.03,13.12,3.03,16.15,6.35,0.1,16.25,16.35
Mississippi State,2008,Memphis,Second Round,1,77,8,74,3,-7,5.76,13.46,10.28,23.73,5.74,5.74,7.68,13.42
Arkansas,2008,North Carolina,Second Round,1,108,9,77,31,-8,8.12,23.41,0.76,24.17,6.73,6.67,5.81,12.48
Pittsburgh,2008,Michigan State,Second Round,5,65,4,54,11,1,7.68,7.0,9.32,16.32,7.84,8.0,7.63,15.62
Stanford,2008,Marquette,Second Round,6,81,3,82,-1,3,8.09,11.23,7.39,18.62,6.95,5.6,10.71,16.31
UNLV,2008,Kansas,Second Round,1,75,8,56,19,-7,8.2,14.9,11.99,26.9,4.02,2.46,7.77,10.23
Georgetown,2008,Davidson,Second Round,10,74,2,70,4,8,1.66,8.49,5.44,13.93,7.23,4.06,14.67,18.73
Texas,2008,Miami (Fla.),Second Round,7,72,2,75,-3,5,7.13,7.49,4.89,12.38,8.59,9.93,8.2,18.13
Siena,2008,Villanova,Second Round,12,84,13,72,12,-1,7.69,6.92,4.08,11.0,-1.62,5.61,-1.55,4.06
Wisconsin,2008,Kansas State,Second Round,11,55,3,72,-17,8,7.79,12.61,3.17,15.79,6.73,2.83,16.76,19.59
Xavier,2008,Purdue,Second Round,6,78,3,85,-7,3,5.9,5.95,7.16,13.1,5.47,8.4,8.76,17.17
San Diego,2008,Western Kentucky,Second Round,12,72,13,63,9,-1,0.24,7.93,1.41,9.34,1.45,-3.71,7.1,3.39
Louisville,2008,Oklahoma,Second Round,6,48,3,78,-30,3,7.85,3.36,8.61,11.97,8.0,7.15,11.85,19.0
Mississippi Valley State,2008,UCLA,First Round,1,70,16,29,41,-15,7.71,8.6,13.1,21.71,-9.5,-13.38,-1.9,-15.28
Arizona,2008,West Virginia,First Round,7,75,10,65,10,-3,7.16,8.45,9.52,17.97,10.22,7.57,6.99,14.55
San Diego,2008,Connecticut,First Round,4,69,13,70,-1,-9,6.76,10.81,4.73,15.54,1.45,-3.71,7.1,3.39
South Alabama,2008,Butler,First Round,7,81,10,61,20,-3,2.64,2.38,10.63,13.0,-1.21,5.46,2.3,7.76
George Mason,2008,Notre Dame,First Round,5,68,12,50,18,-7,7.03,13.12,3.03,16.15,-0.75,0.96,5.11,6.07
Texas-Arlington,2008,Memphis,First Round,1,87,16,63,24,-15,5.76,13.46,10.28,23.73,-4.62,1.13,-4.0,-2.87
Siena,2008,Vanderbilt,First Round,4,62,13,83,-21,-9,5.54,12.11,-1.16,10.96,-1.62,5.61,-1.55,4.06
Cal State Fullerton,2008,Wisconsin,First Round,3,71,14,56,15,-11,6.73,2.83,16.76,19.59,-3.06,11.86,-6.23,5.64
Mount St. Mary's,2008,North Carolina,First Round,1,113,16,74,39,-15,8.12,23.41,0.76,24.17,-5.12,-3.87,0.28,-3.59
Winthrop,2008,Washington State,First Round,4,71,13,40,31,-9,6.35,0.1,16.25,16.35,-1.45,-7.17,10.78,3.61
Temple,2008,Michigan State,First Round,5,72,12,61,11,-7,7.68,7.0,9.32,16.32,4.57,5.05,3.11,8.16
Kentucky,2008,Marquette,First Round,6,74,11,66,8,-5,8.09,11.23,7.39,18.62,7.09,1.44,7.75,9.19
Belmont,2008,Duke,First Round,2,71,15,70,1,-13,9.28,16.48,5.04,21.52,-3.44,6.55,-6.67,-0.12
Texas A&M,2008,Brigham Young,First Round,8,62,9,67,-5,-1,1.33,5.74,6.08,11.82,7.46,4.82,11.38,16.2
Georgia,2008,Xavier,First Round,3,73,14,61,12,-11,5.47,8.4,8.76,17.17,7.03,0.83,6.42,7.24
Oral Roberts,2008,Pittsburgh,First Round,4,82,13,63,19,-9,7.84,8.0,7.63,15.62,-0.26,-0.99,6.7,5.71
Davidson,2008,Gonzaga,First Round,7,76,10,82,-6,-3,2.15,9.29,5.52,14.81,1.66,8.49,5.44,13.93
Portland State,2008,Kansas,First Round,1,85,16,61,24,-15,8.2,14.9,11.99,26.9,-3.01,4.11,-2.38,1.72
Boise State,2008,Louisville,First Round,3,79,14,61,18,-11,8.0,7.15,11.85,19.0,-2.07,10.33,-8.73,1.6
St. Mary's (Cal.),2008,Miami (Fla.),First Round,7,78,10,64,14,-3,7.13,7.49,4.89,12.38,0.36,6.27,5.12,11.39
Austin Peay,2008,Texas,First Round,2,74,15,54,20,-13,8.59,9.93,8.2,18.13,-5.24,1.36,-3.57,-2.21
Kent State,2008,UNLV,First Round,8,71,9,58,13,-1,4.02,2.46,7.77,10.23,0.41,1.96,5.51,7.47
Baylor,2008,Purdue,First Round,6,90,11,79,11,-5,5.9,5.95,7.16,13.1,5.75,15.95,-4.5,11.46
American,2008,Tennessee,First Round,2,72,15,57,15,-13,7.84,15.69,2.73,18.41,-4.0,-4.6,2.73,-1.87
Maryland-Baltimore County,2008,Georgetown,First Round,2,66,15,47,19,-13,7.23,4.06,14.67,18.73,-4.53,4.01,-3.94,0.06
Villanova,2008,Clemson,First Round,5,69,12,75,-6,-7,9.08,12.37,5.68,18.05,7.69,6.92,4.08,11.0
Kansas State,2008,Southern California,First Round,6,67,11,80,-13,-5,8.59,5.35,8.54,13.89,7.79,12.61,3.17,15.79
Western Kentucky,2008,Drake,First Round,5,99,12,101,-2,-7,4.15,7.43,6.65,14.08,0.24,7.93,1.41,9.34
St. Joseph's,2008,Oklahoma,First Round,6,72,11,64,8,-5,7.85,3.36,8.61,11.97,3.98,6.05,3.58,9.63
Arkansas,2008,Indiana,First Round,8,72,9,86,-14,-1,6.08,10.93,4.85,15.78,6.73,6.67,5.81,12.48
Oregon,2008,Mississippi State,First Round,8,76,9,69,7,-1,5.74,5.74,7.68,13.42,7.65,12.03,-0.35,11.68
Cornell,2008,Stanford,First Round,3,77,14,53,24,-11,6.95,5.6,10.71,16.31,-4.74,6.17,-5.41,0.76
Coppin State,2008,Mount St. Mary's,Play-In,16,69,16,60,9,0,-5.12,-3.87,0.28,-3.59,-6.2,-12.38,-2.13,-14.51
Ohio State,2007,Florida,National Championship,1,84,1,75,9,0,7.34,13.68,10.15,23.82,9.03,10.98,10.56,21.54
UCLA,2007,Florida,Final Four,1,76,2,66,10,-1,7.34,13.68,10.15,23.82,9.84,6.24,14.66,20.9
Ohio State,2007,Georgetown,Final Four,2,60,1,67,-7,1,9.48,5.08,14.54,19.62,9.03,10.98,10.56,21.54
Georgetown,2007,North Carolina,Elite Eight,1,84,2,96,-12,-1,9.3,20.55,5.85,26.41,9.48,5.08,14.54,19.62
Oregon,2007,Florida,Elite Eight,1,85,3,77,8,-2,7.34,13.68,10.15,23.82,6.3,10.84,5.11,15.95
UCLA,2007,Kansas,Elite Eight,1,55,2,68,-13,-1,6.86,12.51,10.11,22.62,9.84,6.24,14.66,20.9
Memphis,2007,Ohio State,Elite Eight,1,92,2,76,16,-1,9.03,10.98,10.56,21.54,3.91,11.61,8.11,19.72
Georgetown,2007,Vanderbilt,Sweet 16,6,65,2,66,-1,4,7.79,9.91,2.85,12.76,9.48,5.08,14.54,19.62
Southern California,2007,North Carolina,Sweet 16,1,74,5,64,10,-4,9.3,20.55,5.85,26.41,7.87,7.22,6.56,13.78
Butler,2007,Florida,Sweet 16,1,65,5,57,8,-4,7.34,13.68,10.15,23.82,3.94,1.44,12.9,14.34
Southern Illinois,2007,Kansas,Sweet 16,1,61,4,58,3,-3,6.86,12.51,10.11,22.62,7.53,-1.52,15.11,13.59
UCLA,2007,Pittsburgh,Sweet 16,3,55,2,64,-9,1,8.53,6.74,10.25,16.99,9.84,6.24,14.66,20.9
Tennessee,2007,Ohio State,Sweet 16,1,85,5,84,1,-4,9.03,10.98,10.56,21.54,9.15,15.77,-0.8,14.97
Memphis,2007,Texas A&M,Sweet 16,3,64,2,65,-1,1,5.13,9.34,11.94,21.27,3.91,11.61,8.11,19.72
UNLV,2007,Oregon,Sweet 16,3,76,7,72,4,-4,6.3,10.84,5.11,15.95,5.37,6.49,6.5,12.98
Pittsburgh,2007,Virginia Commonwealth,Second Round,11,79,3,84,-5,8,0.2,7.77,1.73,9.5,8.53,6.74,10.25,16.99
Washington State,2007,Vanderbilt,Second Round,6,78,3,74,4,3,7.79,9.91,2.85,12.76,6.0,0.87,12.46,13.33
Michigan State,2007,North Carolina,Second Round,1,81,9,67,14,-8,9.3,20.55,5.85,26.41,8.45,1.0,15.3,16.3
Purdue,2007,Florida,Second Round,1,74,9,67,7,-8,7.34,13.68,10.15,23.82,8.89,6.0,8.65,14.65
Oregon,2007,Winthrop,Second Round,11,61,3,75,-14,8,-1.2,0.71,8.46,9.17,6.3,10.84,5.11,15.95
Kentucky,2007,Kansas,Second Round,1,88,8,76,12,-7,6.86,12.51,10.11,22.62,11.41,9.83,7.29,17.12
Xavier,2007,Ohio State,Second Round,1,78,9,71,7,-8,9.03,10.98,10.56,21.54,3.39,9.86,4.32,14.18
Texas A&M,2007,Louisville,Second Round,6,69,3,72,-3,3,7.69,5.98,10.11,16.08,5.13,9.34,11.94,21.27
Wisconsin,2007,UNLV,Second Round,7,74,2,68,6,5,5.37,6.49,6.5,12.98,6.95,6.68,12.6,19.28
Virginia,2007,Tennessee,Second Round,5,77,4,74,3,1,9.15,15.77,-0.8,14.97,7.96,10.39,2.5,12.89
Texas,2007,Southern California,Second Round,5,87,4,68,19,1,7.87,7.22,6.56,13.78,6.12,14.84,0.77,15.6
Southern Illinois,2007,Virginia Tech,Second Round,5,48,4,63,-15,1,8.26,4.69,9.66,14.35,7.53,-1.52,15.11,13.59
UCLA,2007,Indiana,Second Round,7,49,2,54,-5,5,8.35,8.0,8.78,16.78,9.84,6.24,14.66,20.9
Georgetown,2007,Boston College,Second Round,7,55,2,62,-7,5,9.21,8.76,5.0,13.76,9.48,5.08,14.54,19.62
Memphis,2007,Nevada,Second Round,7,62,2,78,-16,5,1.09,9.57,1.01,10.58,3.91,11.61,8.11,19.72
Maryland,2007,Butler,Second Round,5,62,4,59,3,1,3.94,1.44,12.9,14.34,7.59,13.58,5.48,19.06
Weber State,2007,UCLA,First Round,2,70,15,42,28,-13,9.84,6.24,14.66,20.9,-3.33,-3.29,-0.74,-4.03
George Washington,2007,Vanderbilt,First Round,6,77,11,44,33,-5,7.79,9.91,2.85,12.76,0.64,2.23,3.38,5.61
North Texas,2007,Memphis,First Round,2,73,15,58,15,-13,3.91,11.61,8.11,19.72,-6.59,2.55,-5.66,-3.11
Texas A&M-Corpus Christi,2007,Wisconsin,First Round,2,76,15,63,13,-13,6.95,6.68,12.6,19.28,-4.8,6.79,-3.72,3.07
Winthrop,2007,Notre Dame,First Round,6,64,11,74,-10,-5,4.97,15.72,1.22,16.94,-1.2,0.71,8.46,9.17
