2014-2015 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
166,Northern Arizona,18-14,0.5044,16.4,10.4,0.6119,0.4659 (248),0.4736,254,0.4685,,
167,Norfolk St,18-13,0.5042,18,10.6,0.6294,0.4652 (250),0.4571,269,0.4625,,
168,Manhattan,19-13,0.5038,17.4,10.2,0.6304,0.4474 (291),0.4898,275,0.4615,,
169,Washington St,13-18,0.5035,11,16.4,0.4015,0.5392 (84),0.5343,83,0.5376,,
170,St. Francis (NY),22-11,0.5035,20.8,10.2,0.671,0.4332 (315),0.4764,310,0.4476,,
,,,,,,,,,,,,
,,,,,,,,,,,,
171,Robert Morris,19-14,0.5019,18.2,13.2,0.5796,0.4713 (235),0.4854,222,0.476,,
172,New Mexico,15-16,0.4998,12.6,14.8,0.4599,0.5186 (115),0.5023,120,0.5132,,
173,Eastern Illinois,15-14,0.4986,14.6,12.4,0.5407,0.4913 (171),0.4712,193,0.4846,,
174,Hofstra,20-13,0.4986,20.8,13,0.6154,0.4479 (288),0.4831,279,0.4596,,
175,Lehigh,15-14,0.4969,15.4,13.6,0.531,0.4840 (195),0.4887,191,0.4856,,
176,Monmouth,18-15,0.4966,18.4,15,0.5509,0.4766 (219),0.4822,213,0.4785,,
177,UT Martin,16-12,0.4943,16.8,10,0.6269,0.4374 (307),0.4756,303,0.4501,,
178,Saint Joseph's,13-18,0.4943,10.2,14.8,0.408,0.5244 (105),0.5205,104,0.5231,,
179,Rutgers,22-Oct,0.4939,8.4,22,0.2763,0.5820 (24),0.5352,32,0.5664,,
180,St. Francis (PA),15-15,0.4938,13.8,10.6,0.5656,0.4669 (247),0.4758,250,0.4699,,
,,,,,,,,,,,,
,,,,,,,,,,,,
181,Canisius,16-14,0.4936,15.2,13.6,0.5278,0.4841 (194),0.4782,200,0.4822,,
182,San Francisco,13-18,0.4931,11.8,18.4,0.3907,0.5358 (89),0.5103,94,0.5273,,
183,Fresno St,13-17,0.4924,11,14.2,0.4365,0.5127 (126),0.5079,125,0.5111,,
184,Texas Tech,13-19,0.4923,7.8,17.4,0.3095,0.5548 (70),0.5502,57,0.5532,,
185,UT Arlington,15-15,0.4919,14.6,13.4,0.5214,0.4814 (203),0.4832,203,0.482,,
186,Northern Illinois,13-16,0.4918,11,13.6,0.4472,0.5089 (135),0.5022,136,0.5067,,
187,Dartmouth,14-14,0.4913,13.2,11.6,0.5323,0.4753 (221),0.4823,218,0.4777,,
188,Mt St. Mary's,15-15,0.4911,13.8,12.2,0.5308,0.4784 (214),0.4768,216,0.4779,,
189,Bryant,16-15,0.4908,15.2,13,0.539,0.4756 (220),0.4727,227,0.4747,,
190,Indiana St,14-16,0.4903,12.4,15.6,0.4429,0.5024 (148),0.5136,139,0.5062,,
,,,,,,,,,,,,
,,,,,,,,,,,,
191,Princeton,15-14,0.4901,12.6,11.6,0.5207,0.4732 (229),0.4935,210,0.4799,,
192,East Tenn St,14-14,0.4896,13.2,12,0.5238,0.4847 (191),0.4654,215,0.4783,,
193,New Hampshire,17-12,0.4891,15.8,9.6,0.622,0.4318 (321),0.4708,316,0.4448,,
194,Colgate,15-17,0.4885,13.8,14.2,0.4929,0.4851 (189),0.4911,186,0.4871,,
195,UM Eastern Shore,18-14,0.4883,19.6,12,0.6203,0.4351 (312),0.4627,318,0.4443,,
196,Columbia,15-Dec,0.4872,10.4,14.6,0.416,0.5225 (106),0.4876,126,0.5109,,
197,DePaul,20-Dec,0.4867,9.6,19.2,0.3333,0.5291 (97),0.5555,82,0.5379,,
198,Boston U,17-Dec,0.4861,11.2,15.4,0.4211,0.5212 (112),0.481,129,0.5078,,
199,Cal Poly,16-Nov,0.4848,11,13.6,0.4472,0.4932 (165),0.5058,159,0.4974,,
200,Holy Cross,13-16,0.4846,10.6,12.8,0.453,0.4999 (153),0.4855,168,0.4951,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
