2018-2019 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Mon Jan 27 2020, 2:12 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
204,Weber St,16-15,0.4823,14.8,14.2,0.5103,0.4742 (229),0.4705,238,0.473,,,,
205,Lamar,16-13,0.4821,14.8,9.8,0.6016,0.4322 (315),0.4624,318,0.4422,,,,
206,Coastal Carolina,13-16,0.482,12.2,13.6,0.4729,0.4865 (193),0.4824,204,0.4851,,,,
207,Canisius,15-17,0.4807,16.6,18.2,0.477,0.4858 (196),0.4739,217,0.4819,,,,
208,Seattle,16-14,0.48,12.8,12.8,0.5,0.4651 (248),0.4898,237,0.4733,,,,
209,Norfolk St,18-13,0.4794,18,11,0.6207,0.4304 (320),0.4362,330,0.4324,,,,
210,Long Beach,13-19,0.4787,11.8,16.2,0.4214,0.5046 (148),0.484,166,0.4977,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
211,Siena,17-16,0.4763,17,16.4,0.509,0.4649 (249),0.4666,257,0.4654,,,,
212,New Orleans,15-13,0.4751,13.8,10.6,0.5656,0.4377 (307),0.4594,314,0.4449,,,,
213,Navy,19-Dec,0.4738,10.4,16.2,0.391,0.5147 (122),0.4749,151,0.5014,,,,
