2002-2003 RPI,,,,,,,,,
,,,,,,,,,
RPI calculations are based on games against Division I opponents only.,,,,,,,,,
,,,,,,,,,
Click on team name for schedule and results.,,,,,,,,,
,,,,,,,,,
"Last updated Sun Mar 16 2003, 4:28 PM",,,,,,,,,
,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,SOS,,Polls,
Rank,School,W-L,RPI,OWP,OOWP,Rank,Rating,AP,USA
286,Navy,19-Jul,0.4192,0.4713,0.4648,239,0.4692,,
287,UNC Greensboro,22-Jun,0.4171,0.4851,0.4841,185,0.4847,,
288,UC Riverside,18-May,0.4169,0.483,0.4841,191,0.4834,,
289,Fordham,26-Feb,0.4168,0.5423,0.5114,82,0.532,,
290,Western Car,18-Jun,0.4163,0.4685,0.4783,234,0.4717,,
,,,,,,,,,
,,,,,,,,,
291,Dartmouth,19-Jul,0.4156,0.4645,0.4641,249,0.4643,,
292,Cornell,18-Aug,0.4143,0.4381,0.4734,285,0.4499,,
293,Florida Atl,21-Jun,0.414,0.4804,0.4728,214,0.4779,,
294,Albany,21-Jul,0.4122,0.4664,0.4661,243,0.4663,,
295,Sacred Heart,21-Jul,0.4098,0.465,0.4592,250,0.463,,
296,Portland St,21-Apr,0.4094,0.4924,0.4928,162,0.4925,,
297,San Jose St,21-May,0.4092,0.4728,0.499,201,0.4815,,
298,Stetson,20-Jun,0.4085,0.4685,0.4665,240,0.4678,,
299,Gardner-Webb,24-Apr,0.4042,0.499,0.4757,167,0.4912,,
300,The Citadel,20-Apr,0.4025,0.4845,0.4745,205,0.4812,,
,,,,,,,,,
,,,,,,,,,
301,UTEP,24-May,0.4009,0.4671,0.4971,216,0.4771,,
302,UMBC,20-Jul,0.3987,0.4377,0.4602,297,0.4452,,
303,Buffalo,23-May,0.3985,0.4567,0.5022,233,0.4719,,
304,Northwestern St,21-Jun,0.3982,0.4494,0.4716,267,0.4568,,
305,Western Ill,21-May,0.3966,0.4642,0.4658,248,0.4647,,
306,High Point,20-Jul,0.394,0.4263,0.4641,304,0.4389,,
307,Loyola-Maryland,24-Apr,0.393,0.4767,0.4757,218,0.4764,,
308,Long Beach,22-Apr,0.3891,0.458,0.4865,241,0.4675,,
309,New Hampshire,23-May,0.3874,0.4537,0.4637,266,0.457,,
310,TX-Pan American,20-Jun,0.3856,0.4307,0.4505,307,0.4373,,
,,,,,,,,,
,,,,,,,,,
311,Bethune-Cookman,22-Aug,0.3851,0.4168,0.4401,319,0.4246,,
312,Ark-Pine Bluff,24-Apr,0.3803,0.4583,0.4616,257,0.4594,,
313,Alabama A&M,19-Jul,0.3772,0.3998,0.4399,322,0.4132,,
314,Chicago St,27-Mar,0.3737,0.4618,0.4712,246,0.4649,,
315,Towson,24-Apr,0.3724,0.4347,0.4774,288,0.4489,,
316,Army,22-Mar,0.3713,0.4533,0.4585,273,0.455,,
317,Campbell,22-Apr,0.366,0.4237,0.4627,308,0.4367,,
318,Nicholls St,25-Feb,0.3636,0.4566,0.4673,256,0.4602,,
319,Lipscomb,20-Jun,0.362,0.384,0.449,323,0.4057,,
320,Morgan St,22-Jul,0.3611,0.3817,0.4396,325,0.401,,
,,,,,,,,,
,,,,,,,,,
321,MD-East Shore,23-May,0.3581,0.4033,0.4472,321,0.4179,,
322,Tennessee St,24-Jan,0.3517,0.4473,0.4724,272,0.4557,,
323,North Carolina A&T,25-Jan,0.3515,0.4584,0.4507,269,0.4558,,
324,Southern U,20-Jul,0.3506,0.352,0.439,326,0.381,,
