2017-2018 RPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Last updated Thu Nov 8 2018, 9:56 AM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,,,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA,,
206,Sam Houston,15-14,0.4802,13,11.2,0.5372,0.4609 (254),0.4618,271,0.4612,,,,
207,Southern Miss,18-Dec,0.4792,10,14.8,0.4032,0.5121 (131),0.4892,136,0.5045,,,,
208,Stony Brook,19-Dec,0.4789,12,17.4,0.4082,0.5160 (125),0.4753,146,0.5024,,,,
209,IPFW,14-14,0.4785,12,10.8,0.5263,0.4520 (276),0.4838,265,0.4626,,,,
210,North Dakota St,17-Dec,0.4776,12,15.4,0.438,0.4933 (170),0.4857,184,0.4908,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
211,Liberty,17-14,0.4767,16.6,14.4,0.5355,0.4560 (268),0.4594,286,0.4571,,,,
212,Boston U,14-16,0.4763,15.6,15.2,0.5065,0.4686 (232),0.4615,255,0.4662,,,,
213,Hawai'i,15-13,0.4756,12.2,13.8,0.4692,0.4722 (222),0.4887,221,0.4777,,,,
214,Lehigh,15-14,0.4741,14.6,13.2,0.5252,0.4499 (282),0.4715,285,0.4571,,,,
